nflweek,rotat,date,kickoff,side,opp,awayhome,,,,,
16,Texans16,12/21/2025,4:25 PM,Texans,Raiders,home,,,,,
16,Bears16,12/21/2025,7:00 PM,Bears,Packers,home,,,,,
16,Commanders16,12/21/2025,7:00 PM,Commanders,Eagles,home,,,,,
16,Dolphins16,12/21/2025,8:20 PM,Dolphins,Bengals,home,,,,,
16,Colts16,12/22/2025,8:15 PM,Colts,49ers,home,,,,,
17,Commanders17,12/25/2025,1:00 PM,Commanders,Cowboys,home,,,,,
17,Vikings17,12/25/2025,4:30 PM,Vikings,Lions,home,,,,,
17,Chiefs17,12/25/2025,8:15 PM,Chiefs,Broncos,home,,,,,
17,Browns17,12/28/2025,1:00 PM,Browns,Steelers,home,,,,,
17,Colts17,12/28/2025,1:00 PM,Colts,Jaguars,home,,,,,
17,Dolphins17,12/28/2025,1:00 PM,Dolphins,Buccaneers,home,,,,,
17,Jets17,12/28/2025,1:00 PM,Jets,Patriots,home,,,,,
17,Titans17,12/28/2025,1:00 PM,Titans,Saints,home,,,,,
17,Bills17,12/28/2025,4:25 PM,Bills,Eagles,home,,,,,
17,49ers17,12/28/2025,8:20 PM,49ers,Bears,home,,,,,
17,Panthers17,12/29/2025,7:00 PM,Panthers,Seahawks,home,,,,,
17,Bengals17,12/29/2025,7:00 PM,Bengals,Cardinals,home,,,,,
17,Packers17,12/29/2025,7:00 PM,Packers,Ravens,home,,,,,
17,Chargers17,12/29/2025,7:00 PM,Chargers,Texans,home,,,,,
17,Raiders17,12/29/2025,7:00 PM,Raiders,Giants,home,,,,,
17,Falcons17,12/29/2025,8:15 PM,Falcons,Rams,home,,,,,
18,Falcons18,1/4/2026,7:00 PM,Falcons,Saints,home,,,,,
18,Bills18,1/4/2026,7:00 PM,Bills,Jets,home,,,,,
18,Bears18,1/4/2026,7:00 PM,Bears,Lions,home,,,,,
18,Bengals18,1/4/2026,7:00 PM,Bengals,Browns,home,,,,,
18,Broncos18,1/4/2026,7:00 PM,Broncos,Chargers,home,,,,,
18,Texans18,1/4/2026,7:00 PM,Texans,Colts,home,,,,,
18,Jaguars18,1/4/2026,7:00 PM,Jaguars,Titans,home,,,,,
18,Rams18,1/4/2026,7:00 PM,Rams,Cardinals,home,,,,,
18,Raiders18,1/4/2026,7:00 PM,Raiders,Chiefs,home,,,,,
18,Vikings18,1/4/2026,7:00 PM,Vikings,Packers,home,,,,,
18,Patriots18,1/4/2026,7:00 PM,Patriots,Dolphins,home,,,,,
18,Giants18,1/4/2026,7:00 PM,Giants,Cowboys,home,,,,,
18,Eagles18,1/4/2026,7:00 PM,Eagles,Commanders,home,,,,,
18,Steelers18,1/4/2026,7:00 PM,Steelers,Ravens,home,,,,,
18,49ers18,1/4/2026,7:00 PM,49ers,Seahawks,home,,,,,
18,Buccaneers18,1/4/2026,7:00 PM,Buccaneers,Panthers,home,,,,,
1,Cowboys1,9/4/2025,8:20 PM,Cowboys,Eagles,away,,,,,
1,Chiefs1,9/5/2025,8:00 PM,Chiefs,Chargers,away,,,,,
1,Buccaneers1,9/7/2025,1:00 PM,Buccaneers,Falcons,away,,,,,
1,Bengals1,9/7/2025,1:00 PM,Bengals,Browns,away,,,,,
1,Dolphins1,9/7/2025,1:00 PM,Dolphins,Colts,away,,,,,
1,Panthers1,9/7/2025,1:00 PM,Panthers,Jaguars,away,,,,,
1,Raiders1,9/7/2025,1:00 PM,Raiders,Patriots,away,,,,,
1,Cardinals1,9/7/2025,1:00 PM,Cardinals,Saints,away,,,,,
1,Steelers1,9/7/2025,1:00 PM,Steelers,Jets,away,,,,,
1,Giants1,9/7/2025,1:00 PM,Giants,Commanders,away,,,,,
1,Titans1,9/7/2025,4:05 PM,Titans,Broncos,away,,,,,
1,49ers1,9/7/2025,4:05 PM,49ers,Seahawks,away,,,,,
1,Lions1,9/7/2025,4:25 PM,Lions,Packers,away,,,,,
1,Texans1,9/7/2025,4:25 PM,Texans,Rams,away,,,,,
1,Ravens1,9/7/2025,8:20 PM,Ravens,Bills,away,,,,,
1,Vikings1,9/8/2025,8:15 PM,Vikings,Bears,away,,,,,
2,Commanders2,9/11/2025,8:15 PM,Commanders,Packers,away,,,,,
2,Browns2,9/14/2025,1:00 PM,Browns,Ravens,away,,,,,
2,Jaguars2,9/14/2025,1:00 PM,Jaguars,Bengals,away,,,,,
2,Giants2,9/14/2025,1:00 PM,Giants,Cowboys,away,,,,,
2,Bears2,9/14/2025,1:00 PM,Bears,Lions,away,,,,,
2,Patriots2,9/14/2025,1:00 PM,Patriots,Dolphins,away,,,,,
2,49ers2,9/14/2025,1:00 PM,49ers,Saints,away,,,,,
2,Bills2,9/14/2025,1:00 PM,Bills,Jets,away,,,,,
2,Seahawks2,9/14/2025,1:00 PM,Seahawks,Steelers,away,,,,,
2,Rams2,9/14/2025,1:00 PM,Rams,Titans,away,,,,,
2,Panthers2,9/14/2025,4:05 PM,Panthers,Cardinals,away,,,,,
2,Broncos2,9/14/2025,4:05 PM,Broncos,Colts,away,,,,,
2,Eagles2,9/14/2025,4:25 PM,Eagles,Chiefs,away,,,,,
2,Falcons2,9/14/2025,8:20 PM,Falcons,Vikings,away,,,,,
2,Buccaneers2,9/15/2025,7:00 PM,Buccaneers,Texans,away,,,,,
2,Chargers2,9/15/2025,10:00 PM,Chargers,Raiders,away,,,,,
3,Dolphins3,9/18/2025,8:15 PM,Dolphins,Bills,away,,,,,
3,Falcons3,9/21/2025,1:00 PM,Falcons,Panthers,away,,,,,
3,Packers3,9/21/2025,1:00 PM,Packers,Browns,away,,,,,
3,Texans3,9/21/2025,1:00 PM,Texans,Jaguars,away,,,,,
3,Bengals3,9/21/2025,1:00 PM,Bengals,Vikings,away,,,,,
3,Steelers3,9/21/2025,1:00 PM,Steelers,Patriots,away,,,,,
3,Rams3,9/21/2025,1:00 PM,Rams,Eagles,away,,,,,
3,Jets3,9/21/2025,1:00 PM,Jets,Buccaneers,away,,,,,
3,Colts3,9/21/2025,1:00 PM,Colts,Titans,away,,,,,
3,Raiders3,9/21/2025,1:00 PM,Raiders,Commanders,away,,,,,
3,Broncos3,9/21/2025,4:05 PM,Broncos,Chargers,away,,,,,
3,Saints3,9/21/2025,4:05 PM,Saints,Seahawks,away,,,,,
3,Cowboys3,9/21/2025,4:25 PM,Cowboys,Bears,away,,,,,
3,Cardinals3,9/21/2025,4:25 PM,Cardinals,49ers,away,,,,,
3,Chiefs3,9/21/2025,8:20 PM,Chiefs,Giants,away,,,,,
3,Lions3,9/22/2025,8:15 PM,Lions,Ravens,away,,,,,
4,Seahawks4,9/25/2025,8:15 PM,Seahawks,Cardinals,away,,,,,
4,Vikings4,9/28/2025,9:30 AM,Vikings,Steelers,away,,,,,
4,Commanders4,9/28/2025,1:00 PM,Commanders,Falcons,away,,,,,
4,Saints4,9/28/2025,1:00 PM,Saints,Bills,away,,,,,
4,Browns4,9/28/2025,1:00 PM,Browns,Lions,away,,,,,
4,Titans4,9/28/2025,1:00 PM,Titans,Texans,away,,,,,
4,Panthers4,9/28/2025,1:00 PM,Panthers,Patriots,away,,,,,
4,Chargers4,9/28/2025,1:00 PM,Chargers,Giants,away,,,,,
4,Eagles4,9/28/2025,1:00 PM,Eagles,Buccaneers,away,,,,,
4,Colts4,9/28/2025,4:05 PM,Colts,Rams,away,,,,,
4,Jaguars4,9/28/2025,4:05 PM,Jaguars,49ers,away,,,,,
4,Ravens4,9/28/2025,4:25 PM,Ravens,Chiefs,away,,,,,
4,Bears4,9/28/2025,4:25 PM,Bears,Raiders,away,,,,,
4,Packers4,9/28/2025,8:20 PM,Packers,Cowboys,away,,,,,
4,Jets4,9/29/2025,7:15 PM,Jets,Dolphins,away,,,,,
4,Bengals4,9/29/2025,8:15 PM,Bengals,Broncos,away,,,,,
5,49ers5,10/2/2025,8:15 PM,49ers,Rams,away,,,,,
